Date,^GSPC,^DJI,^IXIC,000001.SS,^HSI,^VIX,^RUT,^BVSP,^FTSE,^GDAXI,^N225,EURUSD=X,EURCHF=X,CNY=X,GBPUSD=X,JPY=X,EURPLN=X,PLN=X,RUB=X,DX-Y.NYB,^FVX,^TNX,^TYX,CL=F,GC=F,SI=F,BTC-USD,ETH-USD,BZ=F
2026-03-19 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$70023 | 24h change=1.07% | mktcap=$1,398,643,092,038 | vol=$40,053,639,850","Ethereum: price=$2,141.73 | 24h change=1.62% | mktcap=$257,949,340,917 | vol=$18,311,257,519",
2026-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$70596 | 24h change=0.84% | mktcap=$1,412,864,922,837 | vol=$25,382,845,926","Ethereum: price=$2,153.55 | 24h change=0.64% | mktcap=$260,047,155,890 | vol=$10,658,655,364",
2026-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$68778 | 24h change=-2.52% | mktcap=$1,376,782,231,257 | vol=$28,728,038,794","Ethereum: price=$2,080.97 | 24h change=-3.29% | mktcap=$251,313,810,274 | vol=$14,396,488,432",
2026-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$70324 | 24h change=2.35% | mktcap=$1,407,105,597,192 | vol=$53,638,050,497","Ethereum: price=$2,125.21 | 24h change=2.22% | mktcap=$256,690,288,073 | vol=$25,559,938,882",
2026-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$69789 | 24h change=-0.71% | mktcap=$1,394,495,295,834 | vol=$37,600,439,289","Ethereum: price=$2,135.15 | 24h change=0.62% | mktcap=$257,473,992,967 | vol=$16,574,856,407",
2026-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$71433 | 24h change=2.52% | mktcap=$1,428,786,444,303 | vol=$41,007,957,032","Ethereum: price=$2,176.97 | 24h change=2.14% | mktcap=$262,566,232,560 | vol=$17,825,809,465",
2026-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$68844 | 24h change=-3.66% | mktcap=$1,377,689,012,199 | vol=$43,314,484,678","Ethereum: price=$2,063.27 | 24h change=-5.25% | mktcap=$249,166,288,521 | vol=$15,934,858,085",
2026-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$65874 | 24h change=-4.36% | mktcap=$1,318,213,357,820 | vol=$55,981,845,831","Ethereum: price=$1,983.88 | 24h change=-3.91% | mktcap=$239,457,617,234 | vol=$20,820,684,831",
2026-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$67002 | 24h change=1.64% | mktcap=$1,340,003,973,638 | vol=$29,381,733,883","Ethereum: price=$2,027.13 | 24h change=2.09% | mktcap=$244,572,769,555 | vol=$10,205,868,497",
2026-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$66427 | 24h change=-0.84% | mktcap=$1,328,964,929,726 | vol=$21,322,858,571","Ethereum: price=$1,992.00 | 24h change=-1.72% | mktcap=$240,300,471,135 | vol=$7,662,116,994",
2026-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$67309 | 24h change=1.12% | mktcap=$1,346,552,760,370 | vol=$37,579,933,517","Ethereum: price=$2,062.83 | 24h change=3.18% | mktcap=$248,965,564,328 | vol=$16,531,931,477",
2026-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$67077 | 24h change=-0.33% | mktcap=$1,342,188,532,100 | vol=$51,693,674,060","Ethereum: price=$2,065.54 | 24h change=0.12% | mktcap=$249,392,345,078 | vol=$17,440,907,917",
2026-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$68761 | 24h change=2.52% | mktcap=$1,375,697,321,309 | vol=$55,537,259,289","Ethereum: price=$2,132.06 | 24h change=3.22% | mktcap=$257,177,821,756 | vol=$19,522,006,758",
2026-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$66784 | 24h change=-3.01% | mktcap=$1,336,892,599,852 | vol=$48,107,388,476","Ethereum: price=$2,054.88 | 24h change=-3.76% | mktcap=$247,848,124,047 | vol=$20,874,316,977",
2026-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$66902 | 24h change=-0.03% | mktcap=$1,338,494,473,652 | vol=$30,938,331,714","Ethereum: price=$2,053.61 | 24h change=-0.15% | mktcap=$247,669,354,215 | vol=$11,791,144,108",
2026-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$67335 | 24h change=0.66% | mktcap=$1,347,715,861,010 | vol=$22,442,471,114","Ethereum: price=$2,054.37 | 24h change=0.10% | mktcap=$247,997,110,740 | vol=$4,661,383,563",
2026-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$67327 | 24h change=-0.01% | mktcap=$1,347,476,566,511 | vol=$21,499,709,199","Ethereum: price=$2,055.77 | 24h change=0.08% | mktcap=$248,026,517,312 | vol=$7,574,245,242",
2026-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$69989 | 24h change=3.93% | mktcap=$1,399,997,732,701 | vol=$42,250,584,639","Ethereum: price=$2,162.83 | 24h change=5.20% | mktcap=$261,005,643,735 | vol=$16,797,562,627",
2026-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$68345 | 24h change=-2.34% | mktcap=$1,367,333,801,940 | vol=$44,048,052,635","Ethereum: price=$2,083.03 | 24h change=-3.61% | mktcap=$251,310,282,603 | vol=$16,113,666,715",
2026-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$71277 | 24h change=4.31% | mktcap=$1,426,482,165,058 | vol=$52,757,126,341","Ethereum: price=$2,213.79 | 24h change=6.24% | mktcap=$267,173,659,276 | vol=$26,241,178,219",
2026-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$71984 | 24h change=0.87% | mktcap=$1,440,299,966,382 | vol=$34,614,839,317","Ethereum: price=$2,206.14 | 24h change=-0.42% | mktcap=$266,296,815,323 | vol=$15,833,229,123",
2026-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$72693 | 24h change=0.74% | mktcap=$1,453,757,598,147 | vol=$40,894,825,658","Ethereum: price=$2,239.80 | 24h change=1.26% | mktcap=$269,765,365,418 | vol=$18,483,938,162",
2026-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$72890 | 24h change=0.27% | mktcap=$1,458,279,963,786 | vol=$25,739,426,454","Ethereum: price=$2,249.67 | 24h change=0.81% | mktcap=$271,369,335,062 | vol=$10,213,722,459",
2026-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$70939 | 24h change=-2.70% | mktcap=$1,419,783,989,217 | vol=$29,978,380,099","Ethereum: price=$2,188.56 | 24h change=-2.71% | mktcap=$264,068,914,314 | vol=$17,038,416,367",
2026-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$72271 | 24h change=1.86% | mktcap=$1,446,652,576,319 | vol=$36,621,240,127","Ethereum: price=$2,227.54 | 24h change=1.83% | mktcap=$268,845,903,958 | vol=$15,742,938,589",
2026-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$75255 | 24h change=4.26% | mktcap=$1,506,547,263,845 | vol=$65,437,348,417","Ethereum: price=$2,353.38 | 24h change=5.84% | mktcap=$284,025,873,841 | vol=$31,109,523,713",
2026-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$74116 | 24h change=-1.50% | mktcap=$1,483,905,550,706 | vol=$42,520,836,189","Ethereum: price=$2,345.82 | 24h change=-0.36% | mktcap=$283,186,133,530 | vol=$16,730,651,391",
2026-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$74413 | 24h change=0.63% | mktcap=$1,488,746,907,802 | vol=$41,465,309,833","Ethereum: price=$2,324.78 | 24h change=-0.90% | mktcap=$280,416,020,389 | vol=$19,231,276,505",
2026-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$78199 | 24h change=4.71% | mktcap=$1,561,524,653,581 | vol=$58,332,690,383","Ethereum: price=$2,452.43 | 24h change=5.01% | mktcap=$295,695,398,853 | vol=$23,828,936,727",
2026-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$76114 | 24h change=-2.32% | mktcap=$1,525,519,437,211 | vol=$67,699,357,311","Ethereum: price=$2,364.32 | 24h change=-3.29% | mktcap=$285,549,168,511 | vol=$17,056,320,224",
2026-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$75723 | 24h change=-0.17% | mktcap=$1,515,467,155,871 | vol=$60,289,762,001","Ethereum: price=$2,327.30 | 24h change=-1.42% | mktcap=$280,850,249,578 | vol=$13,789,475,013",
2026-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$75430 | 24h change=-0.32% | mktcap=$1,509,236,199,381 | vol=$42,904,102,609","Ethereum: price=$2,305.56 | 24h change=-0.73% | mktcap=$278,156,793,911 | vol=$20,171,842,757",
2026-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$75904 | 24h change=0.63% | mktcap=$1,519,963,216,203 | vol=$43,963,779,445","Ethereum: price=$2,313.51 | 24h change=0.36% | mktcap=$279,356,630,931 | vol=$17,097,792,328",
2026-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin: price=$78912 | 24h change=3.86% | mktcap=$1,581,058,993,715 | vol=$50,560,555,074","Ethereum: price=$2,395.09 | 24h change=3.34% | mktcap=$289,133,585,408 | vol=$22,906,233,599",
